subject,predicate,value
CDNO:0200192,rdfs:label,concentration of vitamin C in material entity
CDNO:0200193,rdfs:label,concentration of L-ascorbic acid in material entity
CDNO:0200195,rdfs:label,concentration of vitamin A in material entity
CDNO:0200196,rdfs:label,concentration of carotenoid in material entity
CDNO:0200197,rdfs:label,concentration of α-carotene in material entity
CDNO:0200198,rdfs:label,concentration of β-carotene in material entity
CDNO:0200199,rdfs:label,concentration of 4-hydroxy-all-trans-β-carotene in material entity
CDNO:0200200,rdfs:label,concentration of 9-cis-β-carotene in material entity
CDNO:0200201,rdfs:label,concentration of vitamin D in material entity
CDNO:0200202,rdfs:label,concentration of calcidiol in material entity
CDNO:0200203,rdfs:label,concentration of vitamin E in material entity
CDNO:0200204,rdfs:label,concentration of tocopherol in material entity
CDNO:0200205,rdfs:label,concentration of α-tocopherol in material entity
CDNO:0200206,rdfs:label,concentration of β-tocopherol in material entity
CDNO:0200207,rdfs:label,concentration of γ-tocopherol in material entity
CDNO:0200208,rdfs:label,concentration of δ-tocopherol in material entity
CDNO:0200209,rdfs:label,concentration of tocotrienol in material entity
CDNO:0200210,rdfs:label,concentration of α-tocotrienol in material entity
CDNO:0200211,rdfs:label,concentration of β-tocotrienol in material entity
CDNO:0200212,rdfs:label,concentration of γ-tocotrienol in material entity
CDNO:0200213,rdfs:label,concentration of δ-tocotrienol in material entity
CDNO:0200214,rdfs:label,concentration of vitamin K in material entity
CDNO:0200215,rdfs:label,concentration of plant secondary metabolite in material entity
CDNO:0200216,rdfs:label,concentration of alkaloid in material entity
CDNO:0200217,rdfs:label,concentration of caffeine in material entity
CDNO:0200218,rdfs:label,concentration of mescaline in material entity
CDNO:0200219,rdfs:label,concentration of theobromine in material entity
CDNO:0200220,rdfs:label,concentration of phenols in material entity
CDNO:0200221,rdfs:label,concentration of polyphenol in material entity
CDNO:0200222,rdfs:label,concentration of tannin in material entity
CDNO:0200223,rdfs:label,concentration of chlorogenic acid in material entity
CDNO:0200224,rdfs:label,concentration of proanthocyanidin in material entity
CDNO:0200225,rdfs:label,concentration of hydrolysable tannin in material entity
CDNO:0200226,rdfs:label,concentration of ellagitannin in material entity
CDNO:0200227,rdfs:label,concentration of gallotannin in material entity
CDNO:0200228,rdfs:label,concentration of phlorotannin in material entity
CDNO:0200229,rdfs:label,concentration of catechol in material entity
CDNO:0200230,rdfs:label,concentration of phloroglucinol in material entity
CDNO:0200231,rdfs:label,concentration of (−)-epigallocatechin 3-gallate in material entity
CDNO:0200232,rdfs:label,concentration of phenolic acid in material entity
CDNO:0200233,rdfs:label,concentration of gallic acid in material entity
CDNO:0200234,rdfs:label,concentration of hydroxybenzoic acid in material entity
CDNO:0200235,rdfs:label,concentration of salicylic acid in material entity
CDNO:0200236,rdfs:label,concentration of hydroquinone O-β-D-glucopyranoside in material entity
CDNO:0200237,rdfs:label,concentration of vanillic acid in material entity
CDNO:0200238,rdfs:label,concentration of syringic acid in material entity
CDNO:0200239,rdfs:label,concentration of methyl ketone in material entity
CDNO:0200240,rdfs:label,concentration of acetophenone in material entity
CDNO:0200241,rdfs:label,concentration of phenylacetic acid in material entity
CDNO:0200242,rdfs:label,concentration of hydroxycinnamic acid in material entity
